"location_id","location_name","process_id","date","poll","unit","source","country","frequency","aggregation_function","threshold","exceedance_allowed_per_year","organization","standard_id","value","exceedance","year","exceedance_this_year","violation","gadm1_id"
"newcastle upon tyne_gbr.1_1_gb","Newcastle upon Tyne","city_day_mad",2019-01-19,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,25.2333333333333,1,2019,2,TRUE,"gbr.1_1"
"birmingham_gbr.1_1_gb","Birmingham","city_background_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,30.5270833333333,1,2019,3,TRUE,"gbr.1_1"
"birmingham_gbr.1_1_gb","Birmingham","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,30.1221388888889,1,2019,4,TRUE,"gbr.1_1"
"bristol_gbr.1_1_gb","Bristol","city_background_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,26.3875,1,2019,3,TRUE,"gbr.1_1"
"bristol_gbr.1_1_gb","Bristol","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,26.3875,1,2019,4,TRUE,"gbr.1_1"
"carlisle_gbr.1_1_gb","Carlisle","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,25.2083333333333,1,2019,1,TRUE,"gbr.1_1"
"central bedfordshire_gbr.1_1_gb","Central Bedfordshire","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,32.8083333333333,1,2019,3,TRUE,"gbr.1_1"
"coventry_gbr.1_1_gb","Coventry","city_background_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,29.1791666666667,1,2019,3,TRUE,"gbr.1_1"
"coventry_gbr.1_1_gb","Coventry","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,29.1791666666667,1,2019,4,TRUE,"gbr.1_1"
"kingston upon hull_gbr.1_1_gb","Kingston upon Hull","city_background_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,27.3791666666667,1,2019,1,TRUE,"gbr.1_1"
"kingston upon hull_gbr.1_1_gb","Kingston upon Hull","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,27.3791666666667,1,2019,2,TRUE,"gbr.1_1"
"leeds_gbr.1_1_gb","Leeds","city_background_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,30.225,1,2019,3,TRUE,"gbr.1_1"
"leeds_gbr.1_1_gb","Leeds","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,29.9875,1,2019,4,TRUE,"gbr.1_1"
"leicester_gbr.1_1_gb","Leicester","city_background_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,28.4333333333333,1,2019,3,TRUE,"gbr.1_1"
"leicester_gbr.1_1_gb","Leicester","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,28.4333333333333,1,2019,4,TRUE,"gbr.1_1"
"london_gbr.1_1_gb","London","city_background_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,25.6198685300207,1,2019,1,TRUE,"gbr.1_1"
"london_gbr.1_1_gb","London","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,25.6331163043478,1,2019,2,TRUE,"gbr.1_1"
"manchester_gbr.1_1_gb","Manchester","city_background_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,26.5287291666667,1,2019,5,TRUE,"gbr.1_1"
"manchester_gbr.1_1_gb","Manchester","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,26.5287291666667,1,2019,6,TRUE,"gbr.1_1"
"medway_gbr.1_1_gb","Medway","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,26.9523333333333,1,2019,3,TRUE,"gbr.1_1"
"northampton_gbr.1_1_gb","Northampton","city_background_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,25.25,1,2019,3,TRUE,"gbr.1_1"
"northampton_gbr.1_1_gb","Northampton","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,25.25,1,2019,4,TRUE,"gbr.1_1"
"norwich_gbr.1_1_gb","Norwich","city_background_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,31.1857142857143,1,2019,1,TRUE,"gbr.1_1"
"norwich_gbr.1_1_gb","Norwich","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,31.1857142857143,1,2019,2,TRUE,"gbr.1_1"
"nottingham_gbr.1_1_gb","Nottingham","city_background_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,29.1666666666667,1,2019,3,TRUE,"gbr.1_1"
"nottingham_gbr.1_1_gb","Nottingham","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,29.1666666666667,1,2019,4,TRUE,"gbr.1_1"
"preston_gbr.1_1_gb","Preston","city_background_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,31.9375,1,2019,3,TRUE,"gbr.1_1"
"preston_gbr.1_1_gb","Preston","city_day_mad",2019-01-20,"pm25","µg/m3","aurn","GB","24-hour","mean",25,0,"WHO",11,31.9375,1,2019,4,TRUE,"gbr.1_1"
